texte,sentiment
Le Nasdaq recule dans un contexte tendu.,negatif
L'or oscille sans direction précise.,neutre
Le marché clôture en hausse après le discours de la Fed.,positif
Tesla recule après l'annonce de son retrait d'un projet.,negatif
Le CAC 40 gagne 2% dans un contexte rassurant.,positif
Le pétrole grimpe face à la demande croissante.,positif
L'or recule avec le retour de l'appétit pour le risque.,negatif
Le pétrole grimpe face à la demande croissante.,positif
Le CAC 40 perd 2% sous la pression des valeurs bancaires.,negatif
Tesla en forte hausse suite à ses résultats trimestriels.,positif
Les investisseurs attendent le rapport sur l'emploi.,neutre
Les indices boursiers souffrent de la hausse des taux.,negatif
Wall Street ouvre en légère hausse.,neutre
Wall Street termine en baisse dans un climat incertain.,negatif
Apple atteint un nouveau sommet historique.,positif
Wall Street salue les résultats record de Microsoft.,positif
Les volumes d'échange restent faibles en séance.,neutre
Wall Street ouvre en légère hausse.,neutre
Apple atteint un nouveau sommet historique.,positif
Le Bitcoin se maintient autour des 50 000 dollars.,neutre
Les investisseurs se réjouissent de la baisse des taux.,positif
Le marché chute après les chiffres du chômage.,negatif
Wall Street salue les résultats record de Microsoft.,positif
Wall Street ouvre en légère hausse.,neutre
Peu de mouvements sur le CAC 40 ce lundi.,neutre
Le Bitcoin bondit de 5% après des annonces favorables.,positif
Le pétrole baisse en raison de la baisse de la demande.,negatif
Wall Street ouvre en légère hausse.,neutre
L'or recule avec le retour de l'appétit pour le risque.,negatif
L'or recule avec le retour de l'appétit pour le risque.,negatif
Wall Street termine en baisse dans un climat incertain.,negatif
Le marché reste stable avant la publication des chiffres.,neutre
Le Bitcoin se maintient autour des 50 000 dollars.,neutre
Le CAC 40 perd 2% sous la pression des valeurs bancaires.,negatif
Apple recule face aux craintes de ralentissement économique.,negatif
Tesla en forte hausse suite à ses résultats trimestriels.,positif
Le pétrole grimpe face à la demande croissante.,positif
Le Nasdaq enregistre sa meilleure performance de l'année.,positif
Le Nasdaq recule dans un contexte tendu.,negatif
Wall Street termine en baisse dans un climat incertain.,negatif
Le CAC 40 gagne 2% dans un contexte rassurant.,positif
Le pétrole reste stable autour des 80 dollars.,neutre
Les indices évoluent sans tendance claire.,neutre
Les indices évoluent sans tendance claire.,neutre
Tesla recule après l'annonce de son retrait d'un projet.,negatif
Les investisseurs attendent le rapport sur l'emploi.,neutre
Wall Street salue les résultats record de Microsoft.,positif
Le CAC 40 gagne 2% dans un contexte rassurant.,positif
Apple recule face aux craintes de ralentissement économique.,negatif
Le pétrole baisse en raison de la baisse de la demande.,negatif
Le marché reste stable avant la publication des chiffres.,neutre
Le pétrole grimpe face à la demande croissante.,positif
Le dollar reste inchangé face à l'euro.,neutre
Les indices évoluent sans tendance claire.,neutre
Wall Street ouvre en légère hausse.,neutre
Le Nasdaq recule dans un contexte tendu.,negatif
Apple recule face aux craintes de ralentissement économique.,negatif
Tesla recule après l'annonce de son retrait d'un projet.,negatif
Le Nasdaq enregistre sa meilleure performance de l'année.,positif
L'or recule avec le retour de l'appétit pour le risque.,negatif
Tesla en forte hausse suite à ses résultats trimestriels.,positif
Le Bitcoin bondit de 5% après des annonces favorables.,positif
Le dollar reste inchangé face à l'euro.,neutre
Peu de mouvements sur le CAC 40 ce lundi.,neutre
L'or oscille sans direction précise.,neutre
Wall Street termine en baisse dans un climat incertain.,negatif
Le dollar reste inchangé face à l'euro.,neutre
Le marché clôture en hausse après le discours de la Fed.,positif
L'or recule avec le retour de l'appétit pour le risque.,negatif
L'or progresse à la suite des tensions géopolitiques.,positif
Apple recule face aux craintes de ralentissement économique.,negatif
Le Bitcoin s'effondre après de mauvaises nouvelles.,negatif
Les volumes d'échange restent faibles en séance.,neutre
Le marché clôture en hausse après le discours de la Fed.,positif
Le CAC 40 perd 2% sous la pression des valeurs bancaires.,negatif
Le marché chute après les chiffres du chômage.,negatif
Le marché clôture en hausse après le discours de la Fed.,positif
Le CAC 40 perd 2% sous la pression des valeurs bancaires.,negatif
Les indices évoluent sans tendance claire.,neutre
Le pétrole baisse en raison de la baisse de la demande.,negatif
Les volumes d'échange restent faibles en séance.,neutre
Wall Street salue les résultats record de Microsoft.,positif
Tesla en forte hausse suite à ses résultats trimestriels.,positif
Tesla recule après l'annonce de son retrait d'un projet.,negatif
Tesla recule après l'annonce de son retrait d'un projet.,negatif
Les investisseurs se réjouissent de la baisse des taux.,positif
Les volumes d'échange restent faibles en séance.,neutre
Wall Street termine en baisse dans un climat incertain.,negatif
Le Nasdaq enregistre sa meilleure performance de l'année.,positif
Le dollar reste inchangé face à l'euro.,neutre
Le dollar reste inchangé face à l'euro.,neutre
Les investisseurs attendent le rapport sur l'emploi.,neutre
Le Bitcoin bondit de 5% après des annonces favorables.,positif
Le Bitcoin s'effondre après de mauvaises nouvelles.,negatif
Le marché chute après les chiffres du chômage.,negatif
Le Bitcoin bondit de 5% après des annonces favorables.,positif
Wall Street termine en baisse dans un climat incertain.,negatif
Le pétrole grimpe face à la demande croissante.,positif
Le Bitcoin s'effondre après de mauvaises nouvelles.,negatif
Le pétrole grimpe face à la demande croissante.,positif
Apple atteint un nouveau sommet historique.,positif
Les volumes d'échange restent faibles en séance.,neutre
Wall Street ouvre en légère hausse.,neutre
Peu de mouvements sur le CAC 40 ce lundi.,neutre
Le pétrole baisse en raison de la baisse de la demande.,negatif
Wall Street termine en baisse dans un climat incertain.,negatif
Le CAC 40 perd 2% sous la pression des valeurs bancaires.,negatif
Le Bitcoin se maintient autour des 50 000 dollars.,neutre
Le Bitcoin s'effondre après de mauvaises nouvelles.,negatif
Les investisseurs se réjouissent de la baisse des taux.,positif
Le Bitcoin bondit de 5% après des annonces favorables.,positif
L'or oscille sans direction précise.,neutre
Le marché chute après les chiffres du chômage.,negatif
L'or progresse à la suite des tensions géopolitiques.,positif
Tesla en forte hausse suite à ses résultats trimestriels.,positif
Les investisseurs attendent le rapport sur l'emploi.,neutre
L'or progresse à la suite des tensions géopolitiques.,positif
Apple recule face aux craintes de ralentissement économique.,negatif
Le CAC 40 gagne 2% dans un contexte rassurant.,positif
Le Bitcoin se maintient autour des 50 000 dollars.,neutre
Wall Street salue les résultats record de Microsoft.,positif
Le dollar reste inchangé face à l'euro.,neutre
Tesla en forte hausse suite à ses résultats trimestriels.,positif
L'or progresse à la suite des tensions géopolitiques.,positif
Le Nasdaq recule dans un contexte tendu.,negatif
Le pétrole baisse en raison de la baisse de la demande.,negatif
L'or progresse à la suite des tensions géopolitiques.,positif
Le Bitcoin s'effondre après de mauvaises nouvelles.,negatif
L'or oscille sans direction précise.,neutre
L'or recule avec le retour de l'appétit pour le risque.,negatif
Les indices boursiers souffrent de la hausse des taux.,negatif
Le CAC 40 perd 2% sous la pression des valeurs bancaires.,negatif
Les indices évoluent sans tendance claire.,neutre
Peu de mouvements sur le CAC 40 ce lundi.,neutre
L'or progresse à la suite des tensions géopolitiques.,positif
Le pétrole baisse en raison de la baisse de la demande.,negatif
Les indices boursiers souffrent de la hausse des taux.,negatif
Le pétrole reste stable autour des 80 dollars.,neutre
Les indices boursiers souffrent de la hausse des taux.,negatif
Les investisseurs se réjouissent de la baisse des taux.,positif
Les investisseurs attendent le rapport sur l'emploi.,neutre
Les investisseurs se réjouissent de la baisse des taux.,positif
Le Nasdaq recule dans un contexte tendu.,negatif
Les indices boursiers souffrent de la hausse des taux.,negatif
Le marché reste stable avant la publication des chiffres.,neutre
Le Nasdaq enregistre sa meilleure performance de l'année.,positif
Le Nasdaq enregistre sa meilleure performance de l'année.,positif
Les indices évoluent sans tendance claire.,neutre
Le pétrole reste stable autour des 80 dollars.,neutre
L'or recule avec le retour de l'appétit pour le risque.,negatif
Tesla en forte hausse suite à ses résultats trimestriels.,positif
Le Nasdaq enregistre sa meilleure performance de l'année.,positif
Le CAC 40 gagne 2% dans un contexte rassurant.,positif
Les investisseurs se réjouissent de la baisse des taux.,positif
L'or oscille sans direction précise.,neutre
Le Bitcoin s'effondre après de mauvaises nouvelles.,negatif
Apple atteint un nouveau sommet historique.,positif
Le CAC 40 gagne 2% dans un contexte rassurant.,positif
Le marché reste stable avant la publication des chiffres.,neutre
Le Bitcoin bondit de 5% après des annonces favorables.,positif
Le marché chute après les chiffres du chômage.,negatif
Le marché clôture en hausse après le discours de la Fed.,positif
Les investisseurs attendent le rapport sur l'emploi.,neutre
Les investisseurs se réjouissent de la baisse des taux.,positif
Le pétrole baisse en raison de la baisse de la demande.,negatif
Le Bitcoin bondit de 5% après des annonces favorables.,positif
Tesla recule après l'annonce de son retrait d'un projet.,negatif
Les volumes d'échange restent faibles en séance.,neutre
Apple atteint un nouveau sommet historique.,positif
Le marché chute après les chiffres du chômage.,negatif
Le marché chute après les chiffres du chômage.,negatif
Tesla recule après l'annonce de son retrait d'un projet.,negatif
Le pétrole reste stable autour des 80 dollars.,neutre
Le Nasdaq enregistre sa meilleure performance de l'année.,positif
Peu de mouvements sur le CAC 40 ce lundi.,neutre
Apple atteint un nouveau sommet historique.,positif
Le CAC 40 gagne 2% dans un contexte rassurant.,positif
Les indices boursiers souffrent de la hausse des taux.,negatif
Wall Street salue les résultats record de Microsoft.,positif
Le pétrole reste stable autour des 80 dollars.,neutre
Apple atteint un nouveau sommet historique.,positif
Apple recule face aux craintes de ralentissement économique.,negatif
Wall Street salue les résultats record de Microsoft.,positif
L'or oscille sans direction précise.,neutre
Le Nasdaq recule dans un contexte tendu.,negatif
Le Bitcoin s'effondre après de mauvaises nouvelles.,negatif
Le Bitcoin se maintient autour des 50 000 dollars.,neutre
L'or progresse à la suite des tensions géopolitiques.,positif
Le pétrole grimpe face à la demande croissante.,positif
Apple recule face aux craintes de ralentissement économique.,negatif
Le marché reste stable avant la publication des chiffres.,neutre
Le Bitcoin se maintient autour des 50 000 dollars.,neutre
Le CAC 40 perd 2% sous la pression des valeurs bancaires.,negatif
Le marché reste stable avant la publication des chiffres.,neutre
Le marché clôture en hausse après le discours de la Fed.,positif
Peu de mouvements sur le CAC 40 ce lundi.,neutre
Le Nasdaq recule dans un contexte tendu.,negatif
Les indices boursiers souffrent de la hausse des taux.,negatif
Le pétrole reste stable autour des 80 dollars.,neutre
Le marché clôture en hausse après le discours de la Fed.,positif
Belle performance avec une hausse de 2.22 points.,positif
L'action progresse de 9.66%.,positif
Les actions grimpent suite à l'annonce.,positif
Une augmentation de 4.74% est observée aujourd'hui.,positif
Les actions grimpent suite à l'annonce.,positif
La valeur clôture en forte hausse.,positif
La valeur clôture en forte hausse.,positif
Le marché réagit positivement à la publication.,positif
La valeur clôture en forte hausse.,positif
L'action progresse de 7.03%.,positif
Le titre gagne 2.66 euros.,positif
La valeur clôture en forte hausse.,positif
Belle performance avec une hausse de 2.52 points.,positif
Une augmentation de 2.09% est observée aujourd'hui.,positif
Belle performance avec une hausse de 2.4 points.,positif
L'action progresse de 3.56%.,positif
"Le prix passe de 11.49€ à 16.86€, marquant une hausse notable.",positif
L'indice termine la séance sur une note positive.,positif
Le cours augmente après de bonnes nouvelles.,positif
Une augmentation de 2.81% est observée aujourd'hui.,positif
Les actions grimpent suite à l'annonce.,positif
Le cours augmente après de bonnes nouvelles.,positif
L'indice termine la séance sur une note positive.,positif
Les actions grimpent suite à l'annonce.,positif
L'action progresse de 8.89%.,positif
L'action progresse de 7.77%.,positif
Le cours augmente après de bonnes nouvelles.,positif
Le cours augmente après de bonnes nouvelles.,positif
Le marché réagit positivement à la publication.,positif
L'indice termine la séance sur une note positive.,positif
La valeur clôture en forte hausse.,positif
"Le prix passe de 29.34€ à 30.42€, marquant une hausse notable.",positif
Belle performance avec une hausse de 5.92 points.,positif
Les actions grimpent suite à l'annonce.,positif
"Le prix passe de 25.42€ à 33.06€, marquant une hausse notable.",positif
Les actions grimpent suite à l'annonce.,positif
Les actions grimpent suite à l'annonce.,positif
Le marché réagit positivement à la publication.,positif
Une augmentation de 4.59% est observée aujourd'hui.,positif
Le marché réagit positivement à la publication.,positif
Les actions grimpent suite à l'annonce.,positif
Les actions grimpent suite à l'annonce.,positif
Les actions grimpent suite à l'annonce.,positif
Une augmentation de 4.75% est observée aujourd'hui.,positif
La valeur clôture en forte hausse.,positif
Les actions grimpent suite à l'annonce.,positif
Le cours augmente après de bonnes nouvelles.,positif
Le cours augmente après de bonnes nouvelles.,positif
Les actions grimpent suite à l'annonce.,positif
L'indice termine la séance sur une note positive.,positif
Le cours augmente après de bonnes nouvelles.,positif
La valeur clôture en forte hausse.,positif
La valeur clôture en forte hausse.,positif
L'indice termine la séance sur une note positive.,positif
Belle performance avec une hausse de 7.99 points.,positif
"Le prix passe de 33.49€ à 39.64€, marquant une hausse notable.",positif
L'indice termine la séance sur une note positive.,positif
La valeur clôture en forte hausse.,positif
"Le prix passe de 23.77€ à 31.82€, marquant une hausse notable.",positif
L'action progresse de 7.79%.,positif
Belle performance avec une hausse de 2.12 points.,positif
Une augmentation de 7.1% est observée aujourd'hui.,positif
L'indice termine la séance sur une note positive.,positif
Belle performance avec une hausse de 4.4 points.,positif
L'action progresse de 6.31%.,positif
Le cours augmente après de bonnes nouvelles.,positif
Le titre gagne 8.18 euros.,positif
Le cours augmente après de bonnes nouvelles.,positif
L'indice termine la séance sur une note positive.,positif
"Le prix passe de 32.53€ à 35.69€, marquant une hausse notable.",positif
Le titre gagne 9.35 euros.,positif
La valeur clôture en forte hausse.,positif
Le marché réagit positivement à la publication.,positif
La valeur clôture en forte hausse.,positif
"Le prix passe de 26.76€ à 29.18€, marquant une hausse notable.",positif
"Le prix passe de 45.17€ à 46.56€, marquant une hausse notable.",positif
La valeur clôture en forte hausse.,positif
"Le prix passe de 41.4€ à 42.58€, marquant une hausse notable.",positif
"Le prix passe de 45.46€ à 49.75€, marquant une hausse notable.",positif
Le marché réagit positivement à la publication.,positif
Belle performance avec une hausse de 7.46 points.,positif
L'indice termine la séance sur une note positive.,positif
L'indice termine la séance sur une note positive.,positif
La valeur clôture en forte hausse.,positif
Le titre gagne 5.6 euros.,positif
La valeur clôture en forte hausse.,positif
Une augmentation de 8.35% est observée aujourd'hui.,positif
Belle performance avec une hausse de 5.17 points.,positif
Les actions grimpent suite à l'annonce.,positif
Belle performance avec une hausse de 6.01 points.,positif
L'action progresse de 1.62%.,positif
Le titre gagne 1.9 euros.,positif
Le cours augmente après de bonnes nouvelles.,positif
L'action progresse de 0.76%.,positif
L'indice termine la séance sur une note positive.,positif
Les actions grimpent suite à l'annonce.,positif
La valeur clôture en forte hausse.,positif
Le titre gagne 7.09 euros.,positif
L'action progresse de 8.26%.,positif
Les actions grimpent suite à l'annonce.,positif
Le marché réagit positivement à la publication.,positif
Le cours augmente après de bonnes nouvelles.,positif
Belle performance avec une hausse de 6.35 points.,positif
L'action progresse de 9.2%.,positif
L'action progresse de 3.81%.,positif
Une augmentation de 9.55% est observée aujourd'hui.,positif
Une augmentation de 3.35% est observée aujourd'hui.,positif
